阿	至亲
阿爸	叔父
阿伯	老父
阿伯	伯父
阿爹	爸爸
阿兄	弟弟
阿哥	哥哥
安	啊	安?!他真是小冯?	(仔细打量)
安	哼	谁同意你捐的，安?你怎么不把书包也捐了?
补须子	指补足尾数	只是没有几天，“须子”都补下来了。
叉巴	轻浮	么女你都十七八，看你越来越~,你又是比，又是划，你又说瓜，你又唱瓜。
叉	叉子	你用～把晾衣服的竿竿叉下来。|小明的作业本上尽是老师打的红~。
叉叉	叉子	你用～把晾衣服的竿竿叉下来。|小明的作业本上尽是老师打的红~。
叉头扫把	扫帚
差一颗米	差一点儿	好危险，只～就遭抓去了!
喳虚脚	踏空	她原想走近丈夫一点，然后用水泼他，逼他下来的，但她喳虚了脚，差点落进漩坑去了|形势要看准，造虚了脚就后悔莫及了。
喳深水	冒险	就是两位表叔，不也是为了这原故才肯～的吗?
茶船子	茶托	茶楼上，撒开了~的“哗哗”声，“开水!掺起”的吆喝声……人们的疲劳暂时消除了。
茶船	茶托
查号	检查	最恶毒的是军警宪串通一气，每夜轮番～。
清号	检查
插插儿	门闩
擦粉儿亮	破晓	～时，春芹刚迷迷糊糊睡去。又说擦呼呼亮、擦亮。
擦黑	傍晚	从~那会儿起，穆三爸便开始大费神思。
擦癞子	耍赖	他从来不会在哪里“起坎”,“～”,他只会守本份。
叉叉裤	开裆裤	李心剑的大哥看倒幺兄弟穿～长大的。
奓(岔)	大	一个塌鼻子，～嘴巴。嘴巴有好~呢?四个汤元排起进去不打挤。|这件衣服的下摆太～了。
奓(岔)	敞开	莫～起嘴巴乱说哈！|脚不要～那么开
岔	打岔	一阵敲门声～断了他的思路。|“过去的事不要提了！”汪达非~断他说。
岔肠子(叉肠子)	心眼儿	你这个人啊，就是~多。
岔嘴	插嘴	我没有跟你说话，不要你来～
诧	惊异	听到狗咬心头～是哪个来到我的家?
诧	惊慌失措	胖豆芽一见大老爷喊叫，他就搞~了，一面下跪，一面说：“呃，府尊大人，你，你，你宵了夜么?”
诧	异样	你伤心成了哈样子！眼皮红肿不算，眼神都是～的，你若不好生宽解，病了，就太可怜了
诧	害怕	去打去打，不要～。|他凶啊，不~事的。
诧床	敏感
诧乎乎	好奇	一双～的眼睛尽往角角里打量。
诧眉诧眼	怪异	她今天穿的啥子！咋个看起来～的！|你们莫笑，笑得我~的。
诧生	怯生	你觉得吗?正都督有点~的样子。|她一点不～，歪着头挺奇怪地盯着我。
差狗	差役	我亲耳听见那些～在喊，永和店的那两个已抓住了！
差狗子	差役
才将	刚才	~有人叫他出去了
财喜	横财	老子们拼命得来的～有你娘子养的来捡！
财不露白	谨慎	当然，专业户的话，你只能信一半，～嘛。
睬祸事	怕事	屠户家出来的朱四香，可不是～的，一面走，一面骂骂叨叨的。|有党有公社，我们就不～。
睬事	怕事	水娃冷笑一声，一点也不～。
踩捕	搜捕	你藏匿了我，一旦～出来，你就与我同罪。
踩倒爬	欺软怕硬	“～并不是乌龟。”“是什么呢?”“|我也莫明其妙，只晓得那意思是挖苦人听不来好话，必须用脚踩着它才会爬。|”你不晓得我们场上那些人，十有九个都是～的。你若果软一点，你就吃不完他们的亏。
踩怪教(採怪教)	捣蛋	啥时屙啊还是少踩一些怪教|哪个敢～谨防老子放血又说扯怪教。
踩假水	踩水
踩假水	弄虚做假	老把子，各人的家各人晓得当，～我总能踩起走。|如其踩了半点假水，我赌咒，赌咒！|大队长哩！里头可没得毒哈！再说，你本来是吃烟的人嘛！踩啥假水哟
踩脚印子	跟踪	我看他和冷区长那回一样，就是想当跟脚鬼，踩我们的脚印子！
踩痛脚	揭短	这一句，明显地踩着郑百香的痛脚了。|他明白女区委书记绝不是那种喜欢踩人痛脚的人，便马上坦然了。
踩虚脚	踏空
踩左踩右	夯歌	“起步——踩左——踩右——哦，扳角，打杵，嘿！挺腰！”“出轿啊——！”
踩左踩右	闹别扭	你少给我～的。
菜板儿	砧板
菜子	油菜
餐子	鱼
谄	逞能	这个人～得很。
谄尖儿	逞能	别个说别个的，要你来～！
惨	狠	喜欢～了|嚇～了|安逸～了|热~了。
惨道	悲惨	唉，太～了
掸(逞、摌)	抽打	～耳巴子|～条子用鞭子打人|铁鸭公那一竹竿，～得并非没有力，不好等闲视之。
掸(逞、摌)	驱散	～蚊子|~灰尘。
孱头	懦夫	不把你龟儿轧实整治一下，老子们倒成了～了
昌盛	成器	他们屋里的娃娃，个个都很～。|二娃子哩，又不～婆娘死了咧，把烟瘾也吃上了。
长	多	当今世道，票子～的是大哥。
长夫	搬运工
长脚蚊	蚊子
长麻吊线	久拖不决	这件事～的，总是不能了结。
长毛	义军	不错，～造反，占了那么多省份，还着朝廷打平息了。
长年	长工
长声吆吆	慢悠悠	郑百如停止了～的点名，叫队长们报数。|十姨太～地随着琵琶唱了起来。幺幺，又作夭夭、吆吆、悠悠。也说条声幺幺。
长甩甩	长长	他老婆做了一篇～的文章。|一条毛根，～的拖在背后，
长梭长梭	长长	一定得把头发烫成~的形式。
长梭梭	长长	这条蛇～的，好吓人！
长条条	瘦长	村长有四十岁上下，很壮，精干，~的。
长行	经常	他～迟到。
长枝长于	敦实	这娃儿二天不会矮，你看他～的。
场1	集镇	这个~多年都没去赶了。|这个～是个大～住了几百家人。
场1	集市	赶～|～都还没齐。
场2	头	说～|看～|听～|吃～|我一不偷鸡摸狗，二不剥削他人，我有何怕～！”
场合(场伙)	场所	这种～不是正经人来的地方。|云集栈的后院，因是码头上一个常开的赌博~由右厢便门进出的人，已很热闹了。
场口	场面	李克觉得让二流子在这会上老出洋相，只有瞎耽误时间，欲要暗示林方成收住～。
肠肠儿	肠子
肠肠肚肚	内脏	就连~计算在内，每一户平均两斤肉都不到，但是总比吃素饭好多了。
肠肠肚肚	心肠	这个人的～才坏哩！
藏猫儿	捉迷藏	她带着他们到街沿上去数蚂蚁洞，或者去找小伙伴～。又说逮猫儿。
敞	公开	去年那个事，我开始也怀疑，也想把这事~出来，但后来卷子查了，怀疑消除了，也就没啥了。
敞敞	漏斗	酒～|醋～
敞子	漏斗
敞敞	一种圆锥形话筒	有个老大娘，对着铁～喊话，招呼过往行人。
敞口	嘴松	“说话不要太～啊！”师爷警告地沉吟说。
敞口标	口松	大舅是做官的人，说话哪能像老陕一样，～呢?
敞口标	长舌妇	可是二女子这种～,却不应该让她搞惯。
敞马	野马	摘了鞍子骑～。|这一班的孩子，老师又不管，完全是一群～。
敞胸亮怀	袒胸露臂	没有一个穿长衫子，没一个穿鞋袜，就是短汗褂也～,并没把钮子扣周整
畅畅神神	痛快淋漓	前一向，你没看见，澜生刚一回家，客就来了，儿乎连晌午饭都没有～吃一顿。唱白脸	白脸是戏曲中的正面人物，～比喻在一定场合下扮演正派的角色。
唱顶板	唱反调	只有他这个人能够跟赵季帅~,打拗卦，因为他是京城军語府直接委派的差事，总督只能调遣他，不能进退他。
唱花脸	做好人	今天下午的会，你来唱白脸，我来～。
唱玩友儿	演出会	两个望风的兄弟伙，一个坐在门口打瞌睡，一个溜到里面听“～”。
抄底火	揭老底	一个缺牙巴拗着叶子烟的矮胖老头还在人群中“敲破锣”,“～”:你信他龟儿乱吹!上次我看他说得遭孽，买了他三张，结果那膏药硬得像他妈一块干泥巴，纸都烧糊了还不沾肉!”
抄汞子	作弊	不过话也难说，罗鸡公是专门～的，能于一寸见方的纸上，抄十六个代数公式。
抄手儿	馄饨
超拔	提拔	在会上，当家三爷用红帖郑重宣布引进参加的兄弟伙名单，~的兄弟伙名单。
操1	混	张玉艇靠着祖传下来的几只大吨桐油木船，在这太平码头上～成了大爷。|有钱人包上一二十桌席来招待一下，或者捐一笔钱，算是～袍哥的具体表现。
操1	挥霍	张膏药将老汉留下的东大街“蜀新”绸缎铺～得精光稀烂。清水把钱～光了，被兄弟伙一拉扯，便去干起抢劫或贩烟、保烟的勾当。
操2(抄)	时髦	啊！穿得好～！
操2(抄)	不务正业	何二～得很，叫小三不要跟他来往。
操坝	操场
操扁挂	练武	富贵子弟固然有家当~,就是穷人家为了少受人欺侮，也常发狠学个三拳两腿以图自强。
操哥	混混儿
操妹儿	混混儿
操漂亮	摆阔	张梓祥在“马裕隆”商店撕扇子，～的事不胫而走。
操体面	脸上飞金	古长庚之所以要操这个体面，一来是为了显示家道富裕，二来也想借此弥补先前老伴那番得罪人的话
麨	馋	青菜吃多了～人。|好久没吃肉了，心头～得很。
朝门儿	院子	杨老大吵出～冲向他的菜园土。
潮1(嘲、嘈)	涌	从上九夜起，东大街中，每夜都是一条人流，～过去，～过来。
潮1(嘲、嘈)	哄传	笑话倒不是，镇上可角角落落都~遍了。|这风声很快~到官府里头。
潮2(糙)	低劣	高桥本地的医生手艺～治不住，因此到永兴区联合诊所去另求良医。
潮3	大片	推倒了一～人。|庄稼着冲垮了一～。
槽槽	凹	东西掉到～头去了。
槽子糕	蛋糕
糟房	酿酒厂
烧房	酿酒厂
螬虫	蛔虫
臑头	颈项	～肉煮不炮，嚼不烂。
炒陈饭	炒冷饭
炒锅	炒锅
炒面	炒面
草把子	稻草
草把儿	稻草
草草	草
草帘子	帘子	于是，乞丐营里便纷纷卷起~各带行头，各以各教上街行乞了。
草縺	帘子
造粉子	吃饭	三哥，造点粉子再说！
造	翻动	把锅里的菜～转，不要糊了。|你咋个把衣柜～得这样乱啊?|去年的卷子不是早查过了吗?怎么现在你又来～?
燥火	上火	辣椒吃多了～。
燥热	燥热	狗肉是～的，冬天吃了好。
燥性	燥热	咳嗽、喉痛忌刺激性～食物。
燥辣	辛辣	不要吃～的东西，病就会好得快一些。(川文)
躁辣	刁钻	她脾气～古怪，没人敢要?
躁辣	凶狠	此人手段~得很，好多人都遭他整过。
躁辣	棘手	这件事好～！
车	转动	大少爷，要不要把灯～小?|司机只挂了他一眼，仍然定定的看着前面，把一只方向盘不停的～来～去。
车帮子	矿工
车笔刀儿	铅笔刀
车车儿	车子
车车灯	灯笼
择铺	敏感	我从小～，换个地方就睡不好。
择人	复杂	找谁去照管着搞呢?那活儿可是顶~的哩！
择人	认生	这娃儿最～了，只有他家的人才让抱，别个不得行。
择嘴	挑食	干猪草有的是，但是那两个傢伙～。
彻火(扯火)	惧怕	你不等他们啦?两个傢伙对你还是有些～。她们个个都歪得像个抱鸡婆，连自己男人都不害怕，会～你?
扯1	延展	有些公馆，院子的围墙一～便是十几二十丈。|可梨儿园横顺～起里打里路宽。
扯1	弄	把买电视机的钱～来先用倒。“弄啥子菜?”“割肉。”“(比钱)这个呢?”“你去～嘛！”“我?老好人～不起走。”
扯2	横蛮	好～！惹不起！
扯2	儿戏	这个人说话好～哟！|你看他样儿好～哟
扯把子	吹牛皮	两个老汉一边晒太阳，一边～谈得很高兴。|老东西，你莫是听人～哟?|～卖膏药的，多得很。把，又作靶。
扯白	扯谎	“静着！团长训话！”这是连长的声音。“总又是睁起眼睛～嘛！”
扯白逗谎	扯谎	～你精灵翻山，说起干正经事，你比黄牛还蠢。|你这个人哟！…不爱跟你说得！尽～。又说扯白亮谎。
扯绷绷	紧绷绷	背心湿津津了，～的胸口才叫胀得憋气。
扯长	经常	她～马起一张脸，说话生硬不耐烦。
扯长	久久	他～不来，我等了半天了。
扯敞子	摆摊子	只见围了一大堆人。走拢一看，原来是江湖上跑烂摊的张膏药扯的敞子。
扯扯	之极	笑~|红～|疯～|神～。
扯伸	拉直	把衣裳～！登时又以全速力朝着奔来的方向～两脚的跑。
扯伸	痛快淋漓	～一趟子就跑拢了。|让他们～歇歇气吧！
扯伸	通盘	卖东西的钱一个月~算，不要一天一天的算。
扯单线	独行
扯垛子	扯谎	他扯个垛子就溜了，一去就是大半天。也说
扯幌子	扯谎
扯风1	抽风
扯风2	造谣生事
扯地皮风	造谣生事
扯股子	凑份子	机关里的大小同事都要～的。
扯拐	出毛病	钟～了，不走了。|今年天气不～可以说是风调雨顺。
扯拐	闹别扭	咬，你硬是安心～么?
扯怪教	捣蛋	真要～我李胡子可不是喜欢饶人的角色！
扯火1	朋友	平素能买到这个煤的，只有徐钱贵和永兴场的几个石灰客，都是周猴儿的老～。
扯火2	好用	这个炉子很～又不费煤。
扯谎坝	广场	从前藩台衙门～摆命摊的胡铁嘴给我算过一张八字。|在抗战时期，新南门外的～曾是人流滚滚的闹市。
扯谎坝	骗子	他一贯扯谎，是个十足的～。谎，也作诳。
扯谎捏白	扯谎	未必谁还跟你李同志～啦?
扯幌子	扯谎	张福寿晓得他们在～但没办法。
扯横筋	撒泼	田老大晓得他在～，因为他气太盛了，不便和他争辨，只是笑笑了事。
扯回销	答复	大队长肯定要向你打听回话，昨个给人家～哪?
扯筋	吵架	他担心那样一来，老婆，女儿要和自己～。|你今天咋个找我～嘛！也说扯筋筋。
扯筋客	胡搅蛮缠	碰着自私自利的～，没沾到盐味儿，不把你的脑壳骂黑?|这才明白杜大嫂在给～铁公鸡“发通知”、“打招呼”。
扯客	胡搅蛮缠	侧霉！遇到你这个～！
扯人	胡搅蛮缠
扯母猪风	打蛮	默倒像前回那样，由你～算了。
扯乱谭	吹牛	我们只能在这儿喝冷茶，～扯野狐禅，自寻其乐。
扯拗拐	叛逆	小鸡公不敢再～，只得拿上锄头，出门去收拾他有意造成的事故。
